"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4911","Client App login","","Wed Oct 08 20:09:15 IST 2025","passed","Wed Oct 08 20:09:20 IST 2025","","ClientAppPO.spec.js","",""
"","7293","@Webs Client App login for ZARA COAT 3","","Wed Oct 08 20:09:08 IST 2025","passed","Wed Oct 08 20:09:15 IST 2025","","ClientAppPO.spec.js","",""
